ENGINE,dummy-traditional,dummy-advanced,SHAFTS,RPM,CPRATIO,INLET-TEMP,EXH-TEMP,AIRFLOW,POWER,HEATRATE,INLET*EXH
Traditional,1,0,1,27245,9.2,1134,602,7,1630,14622,682668
Traditional,1,0,1,14000,12.2,950,446,15,2726,13196,423700
Traditional,1,0,1,17384,14.8,1149,537,20,5247,11948,617013
Traditional,1,0,1,11085,11.8,1024,478,27,6726,11289,489472
Traditional,1,0,1,14045,13.2,1149,553,29,7726,11964,635397
Traditional,1,0,1,6211,15.7,1172,517,176,52600,10526,605924
Traditional,1,0,1,6210,17.4,1177,510,193,57500,10387,600270
Traditional,1,0,1,3600,13.5,1146,503,315,89600,10592,576438
Traditional,1,0,1,3000,15.1,1146,524,375,113700,10460,600504
Traditional,1,0,1,3000,15,1171,525,514,164300,10086,614775
Traditional,1,0,1,18000,12.7,1038,525,11,2000,14628,544950
Traditional,1,0,1,11140,9.1,1038,523,25,5223,13396,542874
Traditional,1,0,1,16630,15,1232,571,19,5500,11726,703472
Traditional,1,0,2,7900,15.6,1077,482,47,11700,11252,519114
Traditional,1,0,1,5100,10,963,485,123,26555,12449,467055
Traditional,1,0,1,5160,12.3,1135,542,144,42170,11030,615170
Traditional,1,0,1,3600,12.6,1113,534,295,86650,10787,594342
Traditional,1,0,1,3000,12.3,1124,541,410,124700,10603,608084
Traditional,1,0,1,3000,14.2,1204,553,515,172985,10144,665812
Traditional,1,0,1,14000,15.9,1177,521,27,6930,11674,613217
Traditional,1,0,1,3660,14.6,1135,526,56,14838,11510,597010
Traditional,1,0,1,5400,15.3,1149,514,172,49500,10946,590586
Traditional,1,0,1,3600,14.2,1141,526,362,109370,10508,600166
Traditional,1,0,1,3600,11,1149,544,354,108719,10604,625056
Traditional,1,0,1,3600,14.2,1177,525,378,120500,10270,617925
Traditional,1,0,1,3000,14.2,1116,511,448,132220,10529,570276
Traditional,1,0,1,3000,11.1,1149,537,500,157010,10360,617013
Traditional,1,0,1,22516,6.6,899,512,7,1210,14796,460288
Traditional,1,0,1,14950,9.7,916,444,19,3515,12913,406704
Traditional,1,0,1,14950,10.7,1054,517,19,4600,12270,544918
Traditional,1,0,1,14950,12,1093,513,22,5500,11842,560709
Traditional,1,0,1,14950,15,1121,490,27,7520,10656,549290
Traditional,1,0,2,8568,16.2,1066,464,39,9286,11360,494624
Traditional,1,0,2,8568,17.6,1104,487,42,10685,11136,537648
Traditional,1,0,1,11220,15.8,1121,493,49,13500,10814,552653
Traditional,1,0,1,4473,8.9,960,517,158,32776,13523,496320
Traditional,1,0,1,3600,12.4,1079,515,311,81600,11289,555685
Traditional,1,0,1,3000,12.5,1041,490,400,100500,11183,510090
Traditional,1,0,2,10400,15,1057,479,26,6844,10951,506303
Advanced,0,1,1,6600,20,1288,546,120,43000,9722,703248
Advanced,0,1,1,5100,14.8,1288,590,204,70905,10481,759920
Advanced,0,1,1,3600,15.5,1327,599,448,174000,9812,794873
Advanced,0,1,1,3600,18.5,1371,626,445,186600,9669,858246
Advanced,0,1,1,3000,14.6,1327,599,648,259670,9643,794873
Advanced,0,1,1,3000,23.2,1427,566,685,282000,9115,807682
Advanced,0,1,1,3000,23.2,1427,621,685,331000,9115,886167
Advanced,0,1,1,7280,14.3,1271,556,49,13680,11588,706676
Advanced,0,1,1,7280,14.6,1271,556,88,27010,10888,706676
Advanced,0,1,1,3600,16,1343,607,453,185400,9738,815201
Advanced,0,1,1,3600,20,1427,596,567,254000,9295,850492
Advanced,0,1,1,3000,17,1343,586,651,270300,9421,786998
Advanced,0,1,1,3000,21,1427,587,737,334000,9105,837649
Advanced,0,1,1,5400,16.1,1288,531,188,62300,10233,683928
Advanced,0,1,1,5400,16.2,1310,589,187,68000,10186,771590
Advanced,0,1,1,3600,16,1288,551,425,153600,9918,709688
Advanced,0,1,1,3600,16.9,1343,577,440,182000,9209,774911
Advanced,0,1,1,3600,15,1349,590,450,186500,9532,795910
Advanced,0,1,1,3000,14,1260,585,510,189000,9933,737100
Advanced,0,1,1,3600,19.2,1427,594,550,253000,9152,847638
Advanced,0,1,1,3000,17,1316,584,642,265540,9295,768544
Aeroderiv,0,0,2,33000,6.9,888,513,3,486,16243,455544
Aeroderiv,0,0,2,30000,8.5,1004,561,4,806,14628,563244
Aeroderiv,0,0,2,18910,14,1066,532,8,1845,12766,567112
Aeroderiv,0,0,3,3600,35,1288,448,152,57930,8714,577024
Aeroderiv,0,0,3,3600,20,1160,456,84,25600,9469,528960
Aeroderiv,0,0,2,16000,10.6,1232,560,14,3815,11948,689920
Aeroderiv,0,0,1,14600,13.4,1077,536,20,4942,12414,577272
